01073, 704.191210749, 411.014665198, 662047, 7.3e-05
06059, 113.997715586, 368.503452566, 2846289, 9.8e-05
06037, 105.369854549, 359.050126004, 9519338, 0.00011
06029, 103.787886113, 326.006585349, 661645, 9.7e-05
06071, 148.402461892, 350.061039619, 1709434, 7.7e-05
06075, 52.7404001225, 254.517429395, 776733, 8.4e-05
08031, 371.038986573, 266.847932979, 554636, 7.9e-05
24510, 872.946822486, 249.834427518, 651154, 7.4e-05
34013, 906.236730753, 206.977429459, 793633, 7.1e-05
34039, 905.587082153, 210.045085725, 522541, 7.3e-05
34017, 909.08042421, 207.462937763, 608975, 9.1e-05
36061, 911.072622034, 205.783086757, 1537195, 0.00015
36005, 912.315497328, 203.674106811, 1332650, 0.00011
36047, 911.595580089, 208.928374072, 2465326, 9.8e-05
36059, 917.384980291, 205.43647538, 1334544, 7.6e-05
36081, 913.462051588, 207.615750359, 2229379, 8.9e-05
41051, 103.293707198, 79.5194104381, 660486, 9.3e-05
41067, 92.2254623376, 76.2593957841, 445342, 7.3e-05
51013, 865.681962839, 261.222875114, 189453, 7.7e-05
51840, 845.843602685, 258.214178983, 23585, 7.1e-05
51760, 865.424050159, 293.735963553, 197790, 8.6e-05
55079, 664.855000617, 192.484141264, 940164, 7.4e-05
54009, 799.221537984, 240.153315109, 25447, 7.7e-05
11001, 867.470401202, 260.460974222, 572059, 7.7e-05